cell_id,weighted_population,historical_density,weighted_housing_units,log_density,log_pop,r_j,cluster_label
178,14.960762177658166,0.000432693607853389,8.757119559258241,0.35955631429865764,2.770133346373772,0.11225723805752164,1
179,37.86276166098575,0.0009663490575392354,11.06692515649293,0.6761785530351636,3.660036508356371,0.22120125630906173,3
180,54.809740770857765,0.0005048092091622872,15.228786071763212,0.40866611884393655,4.021948419938413,-0.13077117867845467,3
181,8.868837071552845,0.0007121415629253694,3.6781415719285313,0.5377449629256662,2.289382021939483,0.4026396441849175,1
182,16.376781836069792,0.0001370196424869065,7.126498327453538,0.1284104903332534,2.855134937909035,-0.13872555247074386,1
183,44.63726712211252,1.2620230229057179e-05,19.354252759126393,0.012541258854061885,3.8207246441938802,-0.4799361025188863,3
184,49.4357683130328,5.2283810948951167e-05,21.441482886064545,0.050962860201691225,3.920700612117996,-0.46484606352179986,3
185,17.83324873267486,0.00045793406831150333,7.714183463345537,0.37702041192715363,2.9356238574038347,0.0911005325400871,1
186,10.384229486371458,7.572138137434308e-05,5.050377418398832,0.07299148896586288,2.432229019260708,-0.09545027746117113,1
187,10.384229486404198,0.0001766832232068005,5.052181593192701,0.1626996528920989,2.432229019263584,-0.005742113535606247,1
188,5.56604473482179,0.0018281304931805685,2.664694539714598,1.039615890244358,1.8819116321572869,0.9996026321518179,7
189,7.252482347492591,0.00016766877304318824,3.0937655320544617,0.15500925946498634,2.1105140456932525,0.061646665770640596,1
190,12.630809467328325,0.00010276473186517989,5.2489270423477965,0.09782041912037091,2.61233263259712,-0.11265243509074004,1
191,6.538800587303124,5.588959101439608e-05,2.8305126868584445,0.05438362585428299,2.020063096064392,-0.017870275273731175,1
192,1.0,1.802890032722454e-06,0.0251623923119755,0.0018012667772286657,0.6931471805599453,0.23921199865400342,7
193,97.3294479500587,0.00030829419559553963,33.41772645089226,0.2687241479243316,4.588323554518792,-0.40288908188099964,2
194,94.50848148993876,0.00035877511651176837,36.901119844338105,0.3065836442956974,4.559215054956156,-0.35823648526186347,2
195,307.6077435305362,0.0002632219447774783,114.88581177407625,0.2336655561781554,5.732071032065761,-0.704865975492663,2
196,302.63744254803026,0.0005895450407002425,94.75663080818966,0.4634478373624976,5.715834366467958,-0.4712945159324976,2
197,551.0463268055738,0.0006580548619436957,223.28658652618563,0.5056451453958812,6.313631968127974,-0.5686062549805313,6
198,888.4558410513256,0.0026935177088873463,541.6518730525572,1.3065793125838918,6.790609861187015,0.1210147668305368,0
199,1092.5374027447874,0.005001216950772088,679.0002196002918,1.7919622737905008,6.997173044145289,0.5581917253088133,0
200,2202.6602857050534,0.005134630813193549,1085.1764909394242,1.8139498992035918,7.697875023050198,0.4166553334062866,0
201,2040.332443685167,0.0026502483481020073,1018.3877162337365,1.2947952058556376,7.621358032292175,-0.08464245915025148,0
202,151.72897141571647,0.0019182749948166912,55.15406499038715,1.0709926865158208,5.028664921901891,0.29661623989002095,5
203,460.976893041252,0.0007878629442997124,188.31014581699665,0.5810210207371017,6.1355148747687185,-0.4516628894144271,6
204,258.0144942106309,0.0021977229498886717,101.86035632514304,1.1624389783539868,5.55688402233692,0.2647911382878956,5
205,114.52195220915026,0.0016262068095156536,43.68768534904113,0.9655405273552744,4.74946057431916,0.2563224760861831,5
206,51.67493525448491,0.00013341386242146162,22.39691118883765,0.1252341955074738,3.96413973053876,-0.4007121894572623,3
207,41.10232916133688,7.031271127617571e-05,17.81515665394844,0.06795085930520718,3.7401030636553054,-0.4057117061503578,3
208,41.93724682487953,0.0001262023022905718,17.976182397863937,0.11885117813621317,3.759739673601389,-0.35939401651338065,3
209,23.201130377228083,0.0001099762919960697,10.06366312841844,0.10433865653404606,3.1863993418745853,-0.240105125880976,3
210,10.38422948635429,8.653872157067779e-05,5.050393286269224,0.08299715889262503,2.4322290192592,-0.08544460753405693,1
